plot,SR_real,year_mean,year_cv,ntrees,total_biomass,gini,H,H_normalized
1030,1,2017.3762962963,0.000399589442586738,2025,5712.2805603,0.692567737107328,0,
1031,1,2017.25658188309,0.000349504857590366,2241,81178.134568123,0.691560485057952,0,
1032,1,2017.26493663247,0.000367614683412452,1657,19827.036117701,0.822658101394509,0,
1032_2029,1,2022,0,90,159.083968791,0.437442311009688,0,
1032_2030,1,2022,0,99,99.073423004,0.420539426478946,0,
1032_2031,2,2022,0,85,180.949034785,0.422756012553412,0.293306745836536,0.974343919414375
1032_2032,4,2022,0,73,97.325126686,0.4364899736681,0.497986098878678,0.827137006364219
1033,1,2017.60156632403,0.000369952383552849,2043,269245.416983022,0.820467009647047,0,
1034,1,2017.05778152678,0.000129250906308674,2371,404291.417663523,0.758224623973346,0,
1035,1,2017.1053294167,0.000223601834836062,2383,66450.157016284,0.673879302795459,0,
1036,1,2017.94029850746,0.000584899179936004,1675,562297.916277326,0.771078022372699,0,
1037,1,2017.49499545041,0.000525193111145855,1099,5648.421563513,0.53746268974491,0,
1037_157,1,2017.20479302832,0.000372612132523447,459,5266.773316713,0.687333720590072,0,
1037_2033,2,2022,0,100,163.458924547,0.407837983739928,0.273883930809489,0.909822724494229
1037_2034,2,2022,0,95,273.439040946,0.303017757149138,0.30094544258871,0.999719120763748
1037_2035,2,2022,0,100,347.901619796,0.39776452149292,0.29021319669138,0.964067371596167
1038,1,2017.61961598339,0.000447229370489766,1927,4526.270736637,0.689117774139462,0,
1039,12,2017.54109961894,0.000460694455138446,1837,140990.370859154,0.905116570983068,0.586352061376991,0.543330477178358
104,4,2016.13493253373,0.000321521972832508,667,202297.774948976,0.778773885656066,0.401602119005752,0.667046681045752
1040,1,2017.19633118493,0.00030241991964248,2017,15201.023297568,0.801310379132044,0,
1041,1,2017.66087900163,0.000479353469484986,1843,850732.970287633,0.728260647662182,0,
105,2,2016.07934131737,0.000252461371096647,668,77959.147510012,0.77449564528826,0.264345835047629,0.878137856211181
106,1,2016.0144092219,8.39623575333524e-05,694,29423.837985506,0.757702660484461,0,
107,2,2016,0,697,207653.420012919,0.771375671647498,0.163141405694041,0.541944019014454
108,2,2016.02359882006,0.000119999806743502,678,17840.329104739,0.783967062145395,0.296926566032173,0.986368701820703
109,4,2016.20769230769,0.000369890220125133,650,206971.94986874,0.836127445733293,0.371545197994761,0.617123215869641
11,2,2016.05643994211,0.000202321260758933,691,33555.31758252,0.766370587439384,0.290252092623714,0.964196581086564
110,4,2016.10162002946,0.000262564537533183,679,213428.007984534,0.788811151750149,0.429961245494504,0.714150170560478
111,4,2016.08370702541,0.000228135754442908,669,155101.26047364,0.698374180202343,0.53531503100992,0.889139020563677
112,1,2016.08695652174,0.000289558690477214,644,5844.031408948,0.699025282499164,0,
